"STATION","NAME","DATE","ACMH","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-10-01",,"0.00","0.0","0.0",,"59","48",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-10-02",,"0.00","0.0","0.0",,"57","50",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-10-03",,"0.00","0.0","0.0",,"62","49",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-10-04",,"0.00","0.0","0.0",,"67","55",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-10-05",,"0.00","0.0","0.0",,"66","53",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-10-06",,"0.00","0.0","0.0",,"58","53",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-10-07",,"0.00","0.0","0.0",,"65","53",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-10-08",,"0.00","0.0","0.0",,"58","51",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-10-09",,"0.00","0.0","0.0",,"66","51",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-10-10",,"0.00","0.0","0.0",,"65","48",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-10-11",,"0.00","0.0","0.0",,"71","44",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-10-12",,"0.00","0.0","0.0",,"68","48",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-10-13",,"0.00","0.0","0.0",,"66","47",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-10-14",,"0.00","0.0","0.0",,"65","46",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-10-15",,"0.00","0.0","0.0",,"65","43",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-10-16",,"0.00","0.0","0.0",,"55","43",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-10-17",,"0.00","0.0","0.0",,"58","46",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-10-18",,"0.00","0.0","0.0",,"57","45",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-10-19",,"0.00","0.0","0.0",,"60","45",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-10-20",,"0.00","0.0","0.0",,"65","43",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-10-21",,"0.00","0.0","0.0",,"62","48",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-10-22",,"0.00","0.0","0.0",,"64","45",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-10-23",,"0.00","0.0","0.0",,"65","44",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-10-24",,"0.02","0.0","0.0",,"66","51",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-10-25",,"1.04","0.0","0.0",,"60","56",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-10-26",,"2.60","0.0","0.0",,"62","56",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-10-27",,"0.10","0.0","0.0",,"64","54",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-10-28",,"0.00","0.0","0.0",,"64","48",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-10-29",,"0.29","0.0","0.0",,"65","47",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-10-30",,"0.23","0.0","0.0",,"55","51",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-10-31",,"0.13","0.0","0.0",,"57","48",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-11-01",,"0.00","0.0","0.0",,"57","47",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-11-02",,"0.00","0.0","0.0",,"51","45",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-11-03",,"0.00","0.0","0.0",,"50","46",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-11-04",,"0.00","0.0","0.0",,"52","46",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-11-05",,"0.36","0.0","0.0",,"53","49",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-11-06",,"0.00","0.0","0.0",,"53","44",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-11-07",,"0.24","0.0","0.0",,"50","39",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-11-08",,"0.03","0.0","0.0",,"49","41",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-11-09",,"0.00","0.0","0.0",,"44","35",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-11-10",,"0.00","0.0","0.0",,"42","33",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-11-11",,"0.11","0.0","0.0",,"49","40",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-11-12",,"0.00","0.0","0.0",,"51","41",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-11-13",,"0.10","0.0","0.0",,"47","43",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-11-14",,"0.00","0.0","0.0",,"48","42",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-11-15",,"0.10","0.0","0.0",,"50","42",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-11-16",,"0.27","0.0","0.0",,"51","44",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-11-17",,"0.00","0.0","0.0",,"50","40",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-11-18",,"0.62","0.0","0.0",,"54","46",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-11-19",,"0.14","0.0","0.0",,"57","48",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-11-20",,"1.02","0.0","0.0",,"57","49",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-11-21",,"0.23","0.0","0.0",,"53","46",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-11-22",,"0.03","0.0","0.0",,"52","46",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-11-23",,"1.62","0.0","0.0",,"56","46",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-11-24",,"0.85","0.0","0.0",,"49","41",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-11-25",,"0.16","0.0","0.0",,"49","43",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-11-26",,"0.47","0.0","0.0",,"54","47",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-11-27",,"0.01","0.0","0.0",,"52","44",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-11-28",,"0.08","0.0","0.0",,"52","37",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-11-29",,"0.00","0.0","0.0",,"44","34",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-11-30",,"0.01","0.0","0.0",,"47","41",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-12-01",,"0.13","0.0","0.0",,"52","37",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-12-02",,"0.00","0.0","0.0",,"46","33",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-12-03",,"0.00","0.0","0.0",,"48","33",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-12-04",,"0.00","0.0","0.0",,"45","37",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-12-05",,"0.14","0.0","0.0",,"42","38",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-12-06",,"0.00","0.0","0.0",,"37","32",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-12-07",,"0.05","0.0","0.0",,"40","37",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-12-08",,"0.00","0.0","0.0",,"44","33",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-12-09",,"0.00","0.0","0.0",,"48","31",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-12-10",,"0.00","0.0","0.0",,"49","32",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","1986-12-11",,"0.06","0.0","0.0",,"42","31",
