date,hour,time_local,month,weekday,season,usage,prcp,tmax,tmin,year
2020-06-13,0,00:00:00,June,Saturday,Summer,1.33,1.03,64,49,2020
2020-06-13,1,01:00:00,June,Saturday,Summer,1.51,1.03,64,49,2020
2020-06-13,2,02:00:00,June,Saturday,Summer,0.43,1.03,64,49,2020
2020-06-13,3,03:00:00,June,Saturday,Summer,0.1,1.03,64,49,2020
2020-06-13,4,04:00:00,June,Saturday,Summer,0.41000000000000003,1.03,64,49,2020
2020-06-13,5,05:00:00,June,Saturday,Summer,0.09,1.03,64,49,2020
2020-06-13,6,06:00:00,June,Saturday,Summer,0.89,1.03,64,49,2020
2020-06-13,7,07:00:00,June,Saturday,Summer,1.05,1.03,64,49,2020
2020-06-13,8,08:00:00,June,Saturday,Summer,1.05,1.03,64,49,2020
2020-06-13,9,09:00:00,June,Saturday,Summer,1.59,1.03,64,49,2020
2020-06-13,10,10:00:00,June,Saturday,Summer,1.32,1.03,64,49,2020
2020-06-13,11,11:00:00,June,Saturday,Summer,1.21,1.03,64,49,2020
2020-06-13,12,12:00:00,June,Saturday,Summer,1.21,1.03,64,49,2020
2020-06-13,13,13:00:00,June,Saturday,Summer,1.79,1.03,64,49,2020
2020-06-13,14,14:00:00,June,Saturday,Summer,1.31,1.03,64,49,2020
2020-06-13,15,15:00:00,June,Saturday,Summer,1.32,1.03,64,49,2020
2020-06-13,16,16:00:00,June,Saturday,Summer,2.23,1.03,64,49,2020
2020-06-13,17,17:00:00,June,Saturday,Summer,1.76,1.03,64,49,2020
2020-06-13,18,18:00:00,June,Saturday,Summer,1.33,1.03,64,49,2020
2020-06-13,19,19:00:00,June,Saturday,Summer,1.55,1.03,64,49,2020
2020-06-13,20,20:00:00,June,Saturday,Summer,1.06,1.03,64,49,2020
2020-06-13,21,21:00:00,June,Saturday,Summer,2.39,1.03,64,49,2020
2020-06-13,22,22:00:00,June,Saturday,Summer,3.1599999999999997,1.03,64,49,2020
2020-06-13,23,23:00:00,June,Saturday,Summer,3.83,1.03,64,49,2020
2020-06-14,0,00:00:00,June,Sunday,Summer,6.75,0.01,66,49,2020
2020-06-14,1,01:00:00,June,Sunday,Summer,5.38,0.01,66,49,2020
2020-06-14,2,02:00:00,June,Sunday,Summer,0.9,0.01,66,49,2020
2020-06-14,3,03:00:00,June,Sunday,Summer,0.69,0.01,66,49,2020
2020-06-14,4,04:00:00,June,Sunday,Summer,0.9500000000000001,0.01,66,49,2020
2020-06-14,5,05:00:00,June,Sunday,Summer,1.08,0.01,66,49,2020
2020-06-14,6,06:00:00,June,Sunday,Summer,1.15,0.01,66,49,2020
2020-06-14,7,07:00:00,June,Sunday,Summer,0.09,0.01,66,49,2020
2020-06-14,8,08:00:00,June,Sunday,Summer,0.92,0.01,66,49,2020
2020-06-14,9,09:00:00,June,Sunday,Summer,2.6,0.01,66,49,2020
2020-06-14,10,10:00:00,June,Sunday,Summer,2.35,0.01,66,49,2020
2020-06-14,11,11:00:00,June,Sunday,Summer,3.77,0.01,66,49,2020
2020-06-14,12,12:00:00,June,Sunday,Summer,2.56,0.01,66,49,2020
2020-06-14,13,13:00:00,June,Sunday,Summer,2.75,0.01,66,49,2020
2020-06-14,14,14:00:00,June,Sunday,Summer,3.53,0.01,66,49,2020
2020-06-14,15,15:00:00,June,Sunday,Summer,4.56,0.01,66,49,2020
2020-06-14,16,16:00:00,June,Sunday,Summer,2.62,0.01,66,49,2020
2020-06-14,17,17:00:00,June,Sunday,Summer,2.51,0.01,66,49,2020
2020-06-14,18,18:00:00,June,Sunday,Summer,2.76,0.01,66,49,2020
2020-06-14,19,19:00:00,June,Sunday,Summer,4.140000000000001,0.01,66,49,2020
2020-06-14,20,20:00:00,June,Sunday,Summer,2.17,0.01,66,49,2020
2020-06-14,21,21:00:00,June,Sunday,Summer,1.17,0.01,66,49,2020
2020-06-14,22,22:00:00,June,Sunday,Summer,0.71,0.01,66,49,2020
2020-06-14,23,23:00:00,June,Sunday,Summer,0.98,0.01,66,49,2020
2020-06-15,0,00:00:00,June,Monday,Summer,0.19,0.08,65,53,2020
2020-06-15,1,01:00:00,June,Monday,Summer,1.8900000000000001,0.08,65,53,2020
2020-06-15,2,02:00:00,June,Monday,Summer,0.66,0.08,65,53,2020
2020-06-15,3,03:00:00,June,Monday,Summer,0.53,0.08,65,53,2020
2020-06-15,4,04:00:00,June,Monday,Summer,0.5,0.08,65,53,2020
2020-06-15,5,05:00:00,June,Monday,Summer,0.19,0.08,65,53,2020
2020-06-15,6,06:00:00,June,Monday,Summer,0.29000000000000004,0.08,65,53,2020
2020-06-15,7,07:00:00,June,Monday,Summer,0.39,0.08,65,53,2020
2020-06-15,8,08:00:00,June,Monday,Summer,0.18,0.08,65,53,2020
2020-06-15,9,09:00:00,June,Monday,Summer,0.39,0.08,65,53,2020
2020-06-15,10,10:00:00,June,Monday,Summer,2.1,0.08,65,53,2020
2020-06-15,11,11:00:00,June,Monday,Summer,1.97,0.08,65,53,2020
2020-06-15,12,12:00:00,June,Monday,Summer,0.9,0.08,65,53,2020
2020-06-15,13,13:00:00,June,Monday,Summer,0.75,0.08,65,53,2020
2020-06-15,14,14:00:00,June,Monday,Summer,1.31,0.08,65,53,2020
2020-06-15,15,15:00:00,June,Monday,Summer,0.69,0.08,65,53,2020
2020-06-15,16,16:00:00,June,Monday,Summer,0.33,0.08,65,53,2020
2020-06-15,17,17:00:00,June,Monday,Summer,0.56,0.08,65,53,2020
2020-06-15,18,18:00:00,June,Monday,Summer,0.1,0.08,65,53,2020
2020-06-15,19,19:00:00,June,Monday,Summer,0.1,0.08,65,53,2020
2020-06-15,20,20:00:00,June,Monday,Summer,0.11,0.08,65,53,2020
2020-06-15,21,21:00:00,June,Monday,Summer,0.5,0.08,65,53,2020
2020-06-15,22,22:00:00,June,Monday,Summer,0.16,0.08,65,53,2020
2020-06-15,23,23:00:00,June,Monday,Summer,1.76,0.08,65,53,2020
2020-06-16,0,00:00:00,June,Tuesday,Summer,3.01,0.07,67,51,2020
2020-06-16,1,01:00:00,June,Tuesday,Summer,1.94,0.07,67,51,2020
2020-06-16,2,02:00:00,June,Tuesday,Summer,1.56,0.07,67,51,2020
2020-06-16,3,03:00:00,June,Tuesday,Summer,1.45,0.07,67,51,2020
2020-06-16,4,04:00:00,June,Tuesday,Summer,1.1099999999999999,0.07,67,51,2020
2020-06-16,5,05:00:00,June,Tuesday,Summer,1.4100000000000001,0.07,67,51,2020
2020-06-16,6,06:00:00,June,Tuesday,Summer,1.09,0.07,67,51,2020
2020-06-16,7,07:00:00,June,Tuesday,Summer,1.1,0.07,67,51,2020
2020-06-16,8,08:00:00,June,Tuesday,Summer,1.09,0.07,67,51,2020
2020-06-16,9,09:00:00,June,Tuesday,Summer,1.23,0.07,67,51,2020
2020-06-16,10,10:00:00,June,Tuesday,Summer,2.14,0.07,67,51,2020
2020-06-16,11,11:00:00,June,Tuesday,Summer,1.04,0.07,67,51,2020
2020-06-16,12,12:00:00,June,Tuesday,Summer,1.45,0.07,67,51,2020
2020-06-16,13,13:00:00,June,Tuesday,Summer,1.73,0.07,67,51,2020
2020-06-16,14,14:00:00,June,Tuesday,Summer,0.78,0.07,67,51,2020
2020-06-16,15,15:00:00,June,Tuesday,Summer,0.63,0.07,67,51,2020
2020-06-16,16,16:00:00,June,Tuesday,Summer,1.17,0.07,67,51,2020
2020-06-16,17,17:00:00,June,Tuesday,Summer,2.35,0.07,67,51,2020
2020-06-16,18,18:00:00,June,Tuesday,Summer,4.19,0.07,67,51,2020
2020-06-16,19,19:00:00,June,Tuesday,Summer,0.92,0.07,67,51,2020
2020-06-16,20,20:00:00,June,Tuesday,Summer,1.39,0.07,67,51,2020
2020-06-16,21,21:00:00,June,Tuesday,Summer,1.6,0.07,67,51,2020
