date,month,weekday,season,usage,prcp,tmax,tmin,year
2020-06-13,June,Saturday,Summer,33.92,1.03,64,49,2020
2020-06-14,June,Sunday,Summer,57.09,0.01,66,49,2020
2020-06-15,June,Monday,Summer,16.55,0.08,65,53,2020
2020-06-16,June,Tuesday,Summer,36.82,0.07,67,51,2020
2020-06-17,June,Wednesday,Summer,27.73,0,73,48,2020
2020-06-18,June,Thursday,Summer,16.91,0,74,52,2020
2020-06-19,June,Friday,Summer,21.07,0,80,55,2020
2020-06-20,June,Saturday,Summer,13.290000000000001,0.09,74,61,2020
2020-06-21,June,Sunday,Summer,11.81,0,70,55,2020
2020-06-22,June,Monday,Summer,28.39,0,76,51,2020
2020-06-23,June,Tuesday,Summer,20.47,0,81,55,2020
2020-06-24,June,Wednesday,Summer,25.44,0,76,60,2020
2020-06-25,June,Thursday,Summer,29.34,0,77,59,2020
2020-06-26,June,Friday,Summer,20.67,0,79,57,2020
2020-06-27,June,Saturday,Summer,12.02,0.63,60,53,2020
2020-06-28,June,Sunday,Summer,26.44,0.11,71,53,2020
2020-06-29,June,Monday,Summer,21.37,0,73,55,2020
2020-06-30,June,Tuesday,Summer,35.72,0.07,66,55,2020
2020-07-01,July,Wednesday,Summer,7.53,0.02,66,54,2020
2020-07-02,July,Thursday,Summer,5.57,0,67,56,2020
2020-07-03,July,Friday,Summer,5.36,0,67,55,2020
2020-07-04,July,Saturday,Summer,13.59,0,67,55,2020
2020-07-05,July,Sunday,Summer,40.19,0,72,50,2020
2020-07-06,July,Monday,Summer,16.39,0,71,56,2020
2020-07-07,July,Tuesday,Summer,24.98,0,64,57,2020
2020-07-08,July,Wednesday,Summer,19.75,0,73,55,2020
2020-07-09,July,Thursday,Summer,26.93,0.02,71,56,2020
2020-07-10,July,Friday,Summer,26.06,0,73,57,2020
2020-07-11,July,Saturday,Summer,11.49,0,71,51,2020
2020-07-12,July,Sunday,Summer,16.57,0.1,71,56,2020
2020-07-13,July,Monday,Summer,20.69,0,73,53,2020
2020-07-14,July,Tuesday,Summer,15.08,0,79,54,2020
2020-07-15,July,Wednesday,Summer,13.22,0,80,57,2020
2020-07-16,July,Thursday,Summer,15.57,0,78,60,2020
2020-07-17,July,Friday,Summer,25.53,0,70,56,2020
2020-07-18,July,Saturday,Summer,26.4,0,77,53,2020
2020-07-19,July,Sunday,Summer,15.03,0,80,58,2020
2020-07-20,July,Monday,Summer,10.25,0,84,59,2020
2020-07-21,July,Tuesday,Summer,6.03,0,81,61,2020
2020-07-22,July,Wednesday,Summer,5.34,0.02,70,61,2020
2020-07-23,July,Thursday,Summer,9.4,0,71,58,2020
2020-07-24,July,Friday,Summer,10.18,0,67,57,2020
2020-07-25,July,Saturday,Summer,20.96,0,76,54,2020
2020-07-26,July,Sunday,Summer,12.78,0,84,54,2020
2020-07-27,July,Monday,Summer,10.19,0,91,60,2020
2020-07-28,July,Tuesday,Summer,10.24,0,80,59,2020
2020-07-29,July,Wednesday,Summer,8.36,0,82,56,2020
2020-07-30,July,Thursday,Summer,9.78,0,88,60,2020
2020-07-31,July,Friday,Summer,6.86,0,83,62,2020
2020-08-01,August,Saturday,Summer,12.14,0,76,58,2020
2020-08-02,August,Sunday,Summer,18.3,0,81,59,2020
2020-08-03,August,Monday,Summer,12.79,0,80,62,2020
2020-08-04,August,Tuesday,Summer,14.4,0,82,60,2020
2020-08-05,August,Wednesday,Summer,14.44,0,82,60,2020
2020-08-06,August,Thursday,Summer,16.19,0.34,63,55,2020
2020-08-07,August,Friday,Summer,23.37,0.01,74,58,2020
2020-08-08,August,Saturday,Summer,9.83,0.03,70,58,2020
2020-08-09,August,Sunday,Summer,8.17,0,76,53,2020
2020-08-10,August,Monday,Summer,20.35,0,78,56,2020
2020-08-11,August,Tuesday,Summer,19.74,0,75,55,2020
2020-08-12,August,Wednesday,Summer,21.88,0,71,57,2020
2020-08-13,August,Thursday,Summer,15.9,0,75,51,2020
2020-08-14,August,Friday,Summer,18.87,0,78,54,2020
2020-08-15,August,Saturday,Summer,18.51,0,85,59,2020
2020-08-16,August,Sunday,Summer,30.09,0,97,61,2020
2020-08-17,August,Monday,Summer,16.77,0,87,65,2020
2020-08-18,August,Tuesday,Summer,17.28,0,80,59,2020
2020-08-19,August,Wednesday,Summer,17.17,0,83,57,2020
2020-08-20,August,Thursday,Summer,17.37,0.06,81,63,2020
2020-08-21,August,Friday,Summer,9.45,0.03,71,63,2020
2020-08-22,August,Saturday,Summer,16.81,0.09,74,58,2020
2020-08-23,August,Sunday,Summer,12.83,0,75,53,2020
2020-08-24,August,Monday,Summer,10.540000000000001,0,75,56,2020
2020-08-25,August,Tuesday,Summer,13.71,0,77,52,2020
2020-08-26,August,Wednesday,Summer,20.81,0,75,56,2020
2020-08-27,August,Thursday,Summer,7.9,0,78,54,2020
2020-08-28,August,Friday,Summer,20.57,0,79,55,2020
2020-08-29,August,Saturday,Summer,17.15,0,72,55,2020
2020-08-30,August,Sunday,Summer,15.93,0.01,74,52,2020
2020-08-31,August,Monday,Summer,25.57,0.01,72,54,2020
2020-09-01,September,Tuesday,Fall,14.71,0,82,59,2020
2020-09-02,September,Wednesday,Fall,17.86,0,78,59,2020
2020-09-03,September,Thursday,Fall,9.209999999999999,0,81,56,2020
2020-09-04,September,Friday,Fall,11.97,0,83,56,2020
2020-09-05,September,Saturday,Fall,12.32,0,74,59,2020
2020-09-06,September,Sunday,Fall,15.35,0,80,56,2020
2020-09-07,September,Monday,Fall,21.65,0,82,62,2020
2020-09-08,September,Tuesday,Fall,15.45,0,81,50,2020
2020-09-09,September,Wednesday,Fall,23.96,0,83,60,2020
2020-09-10,September,Thursday,Fall,10.97,0,91,59,2020
2020-09-11,September,Friday,Fall,13.040000000000001,0,76,57,2020
2020-09-12,September,Saturday,Fall,9.91,0,61,51,2020
2020-09-13,September,Sunday,Fall,15.63,0,67,52,2020
2020-09-14,September,Monday,Fall,17.2,0.05,71,58,2020
2020-09-15,September,Tuesday,Fall,10.77,0.08,80,60,2020
2020-09-16,September,Wednesday,Fall,17.39,0,72,60,2020
2020-09-17,September,Thursday,Fall,15.26,0,74,59,2020
2020-09-18,September,Friday,Fall,9.22,0.17,69,59,2020
2020-09-19,September,Saturday,Fall,12.81,1.35,69,59,2020
2020-09-20,September,Sunday,Fall,9.67,0.18,71,57,2020
2020-09-21,September,Monday,Fall,11.28,0,70,54,2020
2020-09-22,September,Tuesday,Fall,18.43,0,73,58,2020
2020-09-23,September,Wednesday,Fall,12.47,0.89,64,59,2020
2020-09-24,September,Thursday,Fall,36.800000000000004,0.85,65,58,2020
2020-09-25,September,Friday,Fall,16.8,0.58,63,56,2020
2020-09-26,September,Saturday,Fall,34.77,0.01,67,55,2020
2020-09-27,September,Sunday,Fall,35.51,0,70,51,2020
2020-09-28,September,Monday,Fall,22.02,0,73,53,2020
2020-09-29,September,Tuesday,Fall,18.03,0,80,53,2020
2020-09-30,September,Wednesday,Fall,22.77,0,75,53,2020
2020-10-01,October,Thursday,Fall,27.52,0,72,55,2020
2020-10-02,October,Friday,Fall,15.33,0,74,53,2020
2020-10-03,October,Saturday,Fall,20.77,0,60,53,2020
2020-10-04,October,Sunday,Fall,15.02,0.04,62,56,2020
2020-10-05,October,Monday,Fall,22.94,0,68,55,2020
2020-10-06,October,Tuesday,Fall,24.02,0,73,53,2020
2020-10-07,October,Wednesday,Fall,19.830000000000002,0,64,52,2020
2020-10-08,October,Thursday,Fall,25.81,0,68,54,2020
2020-10-09,October,Friday,Fall,24.150000000000002,0.5,69,58,2020
2020-10-10,October,Saturday,Fall,23.85,0.46,61,49,2020
2020-10-11,October,Sunday,Fall,26.38,0.35,60,52,2020
2020-10-12,October,Monday,Fall,19.82,0.15,61,51,2020
2020-10-13,October,Tuesday,Fall,29.88,0.46,64,49,2020
2020-10-14,October,Wednesday,Fall,18.51,0,64,44,2020
2020-10-15,October,Thursday,Fall,23.84,0,64,41,2020
2020-10-16,October,Friday,Fall,30.07,0.2,63,53,2020
2020-10-17,October,Saturday,Fall,20.09,0.04,57,52,2020
2020-10-18,October,Sunday,Fall,29.09,0.09,60,53,2020
2020-10-19,October,Monday,Fall,40.98,0.39,57,48,2020
2020-10-20,October,Tuesday,Fall,33.63,0.02,59,45,2020
2020-10-21,October,Wednesday,Fall,49.6,0.19,55,43,2020
2020-10-22,October,Thursday,Fall,38.88,0,55,39,2020
2020-10-23,October,Friday,Fall,42.71,0.09,49,40,2020
2020-10-24,October,Saturday,Fall,20.34,0,49,38,2020
2020-10-25,October,Sunday,Fall,6.55,0,50,36,2020
2020-10-26,October,Monday,Fall,21.48,0,51,37,2020
2020-10-27,October,Tuesday,Fall,47.48,0,57,44,2020
2020-10-28,October,Wednesday,Fall,32.94,0,58,46,2020
2020-10-29,October,Thursday,Fall,42.01,0,60,45,2020
2020-10-30,October,Friday,Fall,51.69,0,56,44,2020
2020-10-31,October,Saturday,Fall,38.78,0,57,41,2020
2020-11-01,November,Sunday,Fall,61.31,0,61,42,2020
2020-11-02,November,Monday,Fall,43.29,0,65,38,2020
2020-11-03,November,Tuesday,Fall,43.33,0.75,58,49,2020
2020-11-04,November,Wednesday,Fall,38.68,0.18,65,58,2020
2020-11-05,November,Thursday,Fall,40.31,0.17,60,46,2020
2020-11-06,November,Friday,Fall,38.62,0,50,35,2020
2020-11-07,November,Saturday,Fall,50.78,0,46,34,2020
2020-11-08,November,Sunday,Fall,49.84,0,49,32,2020
2020-11-09,November,Monday,Fall,66.96,0.1,45,28,2020
2020-11-10,November,Tuesday,Fall,49.21,0.01,48,37,2020
2020-11-11,November,Wednesday,Fall,66.9,0,46,35,2020
2020-11-12,November,Thursday,Fall,64.85,0.3,50,39,2020
2020-11-13,November,Friday,Fall,58.21,0.39,54,42,2020
2020-11-14,November,Saturday,Fall,42.19,0.35,49,42,2020
2020-11-15,November,Sunday,Fall,55.78,0.01,54,46,2020
2020-11-16,November,Monday,Fall,43.62,0.67,48,46,2020
2020-11-17,November,Tuesday,Fall,45.21,0.75,61,44,2020
2020-11-18,November,Wednesday,Fall,47.84,0.44,49,45,2020
2020-11-19,November,Thursday,Fall,55.36,0.02,50,44,2020
2020-11-20,November,Friday,Fall,42.68,0.04,51,45,2020
2020-11-21,November,Saturday,Fall,36.11,0,55,42,2020
2020-11-22,November,Sunday,Fall,60.64,0.05,47,37,2020
2020-11-23,November,Monday,Fall,59.39,0.21,47,43,2020
2020-11-24,November,Tuesday,Fall,49.1,0.41,52,43,2020
2020-11-25,November,Wednesday,Fall,59.18,0.04,50,42,2020
2020-11-26,November,Thursday,Fall,54.83,0.05,50,45,2020
2020-11-27,November,Friday,Fall,45.81,0.02,53,46,2020
2020-11-28,November,Saturday,Fall,65.09,0.03,48,39,2020
2020-11-29,November,Sunday,Fall,64.51,0,44,37,2020
2020-11-30,November,Monday,Fall,64.52,0.39,53,37,2020
2020-12-01,December,Tuesday,Winter,64.38,0,50,36,2020
2020-12-02,December,Wednesday,Winter,67.09,0,58,36,2020
2020-12-03,December,Thursday,Winter,47.82,0,50,34,2020
2020-12-04,December,Friday,Winter,59.28,0,57,34,2020
2020-12-05,December,Saturday,Winter,46.45,0,59,33,2020
2020-12-06,December,Sunday,Winter,55.07,0.01,54,40,2020
2020-12-07,December,Monday,Winter,48.1,0.01,54,41,2020
2020-12-08,December,Tuesday,Winter,51.84,0.47,52,47,2020
2020-12-09,December,Wednesday,Winter,51.78,0.07,50,38,2020
2020-12-10,December,Thursday,Winter,50.48,0.04,45,37,2020
2020-12-11,December,Friday,Winter,45.37,0,46,35,2020
2020-12-12,December,Saturday,Winter,60.05,0,45,31,2020
2020-12-13,December,Sunday,Winter,56.77,0.13,46,38,2020
2020-12-14,December,Monday,Winter,54.33,0.06,50,43,2020
2020-12-15,December,Tuesday,Winter,59.63,0.14,49,43,2020
2020-12-16,December,Wednesday,Winter,47.61,0.35,51,46,2020
2020-12-17,December,Thursday,Winter,48.5,0.13,52,45,2020
2020-12-18,December,Friday,Winter,41.25,0.23,53,44,2020
2020-12-19,December,Saturday,Winter,45.85,0.6,53,46,2020
2020-12-20,December,Sunday,Winter,43.980000000000004,0,54,47,2020
2020-12-21,December,Monday,Winter,59.23,2.19,56,33,2020
2020-12-22,December,Tuesday,Winter,74.59,0.02,46,34,2020
2020-12-23,December,Wednesday,Winter,70.28,0,44,30,2020
2020-12-24,December,Thursday,Winter,77.47,0,44,28,2020
2020-12-25,December,Friday,Winter,48.06,0.41,47,32,2020
2020-12-26,December,Saturday,Winter,46.18,0.07,49,42,2020
2020-12-27,December,Sunday,Winter,76.27,0.13,48,36,2020
2020-12-28,December,Monday,Winter,51.08,0,47,35,2020
2020-12-29,December,Tuesday,Winter,78.5,0.21,41,37,2020
2020-12-30,December,Wednesday,Winter,56.54,0.58,48,41,2020
2020-12-31,December,Thursday,Winter,32,0.11,51,46,2020
2021-01-01,January,Friday,Winter,41.86,0.3,52,45,2021
2021-01-02,January,Saturday,Winter,58.31,1.21,49,39,2021
2021-01-03,January,Sunday,Winter,67.88,0.24,49,38,2021
2021-01-04,January,Monday,Winter,55.5,0.64,49,44,2021
2021-01-05,January,Tuesday,Winter,53.97,0.76,49,43,2021
2021-01-06,January,Wednesday,Winter,42.63,0.16,53,38,2021
2021-01-07,January,Thursday,Winter,62.12,0,52,37,2021
2021-01-08,January,Friday,Winter,61.07,0.13,52,38,2021
2021-01-09,January,Saturday,Winter,47.18,0,44,33,2021
2021-01-10,January,Sunday,Winter,40.64,0.1,49,41,2021
2021-01-11,January,Monday,Winter,46.35,0.91,49,42,2021
2021-01-12,January,Tuesday,Winter,53.98,1.5,56,46,2021
2021-01-13,January,Wednesday,Winter,38.95,0.23,56,38,2021
2021-01-14,January,Thursday,Winter,57.3,0.09,51,40,2021
2021-01-15,January,Friday,Winter,49.92,0.11,55,40,2021
2021-01-16,January,Saturday,Winter,71.78,0.01,46,38,2021
2021-01-17,January,Sunday,Winter,53.43,0.02,50,43,2021
2021-01-18,January,Monday,Winter,55.36,0,50,36,2021
2021-01-19,January,Tuesday,Winter,55.02,0,43,35,2021
2021-01-20,January,Wednesday,Winter,77.62,0,46,35,2021
2021-01-21,January,Thursday,Winter,47.22,0.02,47,41,2021
2021-01-22,January,Friday,Winter,70.28,0,46,30,2021
2021-01-23,January,Saturday,Winter,68.56,0,44,28,2021
2021-01-24,January,Sunday,Winter,67.71,0.23,42,38,2021
2021-01-25,January,Monday,Winter,71.76,0,47,38,2021
2021-01-26,January,Tuesday,Winter,50.14,0,45,34,2021
2021-01-27,January,Wednesday,Winter,58.11,0.14,47,38,2021
2021-01-28,January,Thursday,Winter,63.62,0.26,46,37,2021
2021-01-29,January,Friday,Winter,62.51,0.03,49,41,2021
2021-01-30,January,Saturday,Winter,68.58,0.25,48,42,2021
2021-01-31,January,Sunday,Winter,57.94,0.27,47,43,2021
2021-02-01,February,Monday,Winter,59.23,0.94,49,43,2021
2021-02-02,February,Tuesday,Winter,54.35,0.48,46,40,2021
2021-02-03,February,Wednesday,Winter,61.65,0.04,50,39,2021
2021-02-04,February,Thursday,Winter,91.76,0.15,48,43,2021
2021-02-05,February,Friday,Winter,64.87,0.12,49,44,2021
2021-02-06,February,Saturday,Winter,52.2,0,49,44,2021
2021-02-07,February,Sunday,Winter,56.06,0.01,50,39,2021
2021-02-08,February,Monday,Winter,67.67,0.31,45,33,2021
2021-02-09,February,Tuesday,Winter,62.3,0,44,33,2021
2021-02-10,February,Wednesday,Winter,73.95,0,43,29,2021
2021-02-11,February,Thursday,Winter,54.56,0.05,37,29,2021
2021-02-12,February,Friday,Winter,81.83,0.11,33,26,2021
